date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
12/23/2014,112.54,110.0461,,0,0,0,0,0,100000,100000,0,0
12/24/2014,112.01,110.3113,,0,0,0,0,0,100000,100000,0,0
12/26/2014,113.99,110.6403,,0,0,0,0,0,100000,100000,0,0
12/29/2014,113.91,110.9933,,0,0,0,0,0,100000,100000,0,0
12/30/2014,112.52,111.2903,,0,0,0,0,0,100000,100000,0,0
12/31/2014,110.38,111.5027,,0,0,0,0,0,100000,100000,0,0
1/2/2015,109.33,111.6399,,0,0,0,0,0,100000,100000,0,0
1/5/2015,106.25,111.7051,,0,0,0,0,0,100000,100000,0,0
1/6/2015,106.26,111.7337,,0,0,0,0,0,100000,100000,0,0
1/7/2015,107.75,111.7843,,0,0,0,0,0,100000,100000,0,0
1/8/2015,111.89,111.9199,,0,0,0,0,0,100000,100000,0,0
1/9/2015,112.01,112.0253,,0,0,0,0,0,100000,100000,0,0
1/12/2015,109.25,112.0635,,0,0,0,0,0,100000,100000,0,0
1/13/2015,110.22,112.1283,,0,0,0,0,0,100000,100000,0,0
1/14/2015,109.8,112.1643,,0,0,0,0,0,100000,100000,0,0
1/15/2015,106.82,112.1127,,0,0,0,0,0,100000,100000,0,0
1/16/2015,105.99,112.0605,,0,0,0,0,0,100000,100000,0,0
1/20/2015,108.72,112.0577,,0,0,0,0,0,100000,100000,0,0
1/21/2015,109.55,112.0747,,0,0,0,0,0,100000,100000,0,0
1/22/2015,112.4,112.1425,,0,0,0,0,0,100000,100000,0,0
1/23/2015,112.98,112.2255,,0,0,0,0,0,100000,100000,0,0
1/26/2015,113.1,112.2935,,0,0,0,0,0,100000,100000,0,0
1/27/2015,109.14,112.2513,,0,0,0,0,0,100000,100000,0,0
1/28/2015,115.31,112.3011,,0,0,0,0,0,100000,100000,0,0
1/29/2015,118.9,112.3955,,0,0,0,0,0,100000,100000,0,0
1/30/2015,117.16,112.4589,,0,0,0,0,0,100000,100000,0,0
2/2/2015,118.63,112.5221,,0,0,0,0,0,100000,100000,0,0
2/3/2015,118.65,112.6017,,0,0,0,0,0,100000,100000,0,0
2/4/2015,119.56,112.6667,,0,0,0,0,0,100000,100000,0,0
2/5/2015,119.94,112.7361,,0,0,0,0,0,100000,100000,0,0
2/6/2015,118.93,112.7422,,0,0,0,0,0,100000,100000,0,0
2/9/2015,119.72,112.7846,,0,0,0,0,0,100000,100000,0,0
2/10/2015,122.02,112.845,,0,0,0,0,0,100000,100000,0,0
2/11/2015,124.88,112.964,,0,0,0,0,0,100000,100000,0,0
2/12/2015,126.46,113.1918,109.71095,1,1,500,500,63230,36770,100000,0,0
2/13/2015,127.08,113.4408,109.97115,1,0,500,0,63540,36770,100310,0.0031,0.0031
2/17/2015,127.83,113.6788,110.22305,1,0,500,0,63915,36770,100685,0.003738411,0.00685
2/18/2015,128.715,113.9433,110.4927,1,0,500,0,64357.5,36770,101127.5,0.004394895,0.011275
