date, fng_value,fng_classification
29-07-2019,19,Extreme Fear
28-07-2019,16,Extreme Fear
27-07-2019,47,Neutral
26-07-2019,24,Extreme Fear
25-07-2019,42,Fear
24-07-2019,20,Extreme Fear
23-07-2019,40,Fear
22-07-2019,42,Fear
21-07-2019,42,Fear
20-07-2019,34,Fear
19-07-2019,42,Fear
18-07-2019,40,Fear
17-07-2019,19,Extreme Fear
16-07-2019,34,Fear
15-07-2019,16,Extreme Fear
14-07-2019,61,Greed
13-07-2019,65,Greed
12/7/2019,33,Fear
11/7/2019,62,Greed
10/7/2019,83,Extreme Greed
9/7/2019,84,Extreme Greed
8/7/2019,74,Greed
7/7/2019,67,Greed
6/7/2019,72,Greed
5/7/2019,67,Greed
4/7/2019,76,Extreme Greed
3/7/2019,79,Extreme Greed
2/7/2019,63,Greed
1/7/2019,65,Greed
30-06-2019,78,Extreme Greed
29-06-2019,74,Greed
28-06-2019,62,Greed
27-06-2019,92,Extreme Greed
26-06-2019,95,Extreme Greed
25-06-2019,87,Extreme Greed
24-06-2019,80,Extreme Greed
23-06-2019,84,Extreme Greed
22-06-2019,83,Extreme Greed
21-06-2019,84,Extreme Greed
20-06-2019,81,Extreme Greed
19-06-2019,82,Extreme Greed
18-06-2019,83,Extreme Greed
17-06-2019,84,Extreme Greed
16-06-2019,80,Extreme Greed
15-06-2019,75,Greed
14-06-2019,67,Greed
13-06-2019,63,Greed
12/6/2019,60,Greed
11/6/2019,61,Greed
10/6/2019,46,Fear
9/6/2019,62,Greed
8/6/2019,62,Greed
7/6/2019,27,Fear
6/6/2019,34,Fear
5/6/2019,27,Fear
4/6/2019,42,Fear
3/6/2019,66,Greed
2/6/2019,63,Greed
1/6/2019,62,Greed
31-05-2019,61,Greed
30-05-2019,73,Greed
29-05-2019,71,Greed
28-05-2019,71,Greed
27-05-2019,70,Greed
26-05-2019,67,Greed
25-05-2019,69,Greed
24-05-2019,64,Greed
23-05-2019,65,Greed
22-05-2019,69,Greed
21-05-2019,68,Greed
20-05-2019,73,Greed
19-05-2019,70,Greed
18-05-2019,67,Greed
17-05-2019,65,Greed
16-05-2019,75,Greed
15-05-2019,77,Extreme Greed
14-05-2019,78,Extreme Greed
13-05-2019,78,Extreme Greed
12/5/2019,75,Greed
11/5/2019,76,Extreme Greed
10/5/2019,71,Greed
9/5/2019,69,Greed
8/5/2019,63,Greed
7/5/2019,69,Greed
6/5/2019,57,Greed
5/5/2019,67,Greed
4/5/2019,66,Greed
3/5/2019,63,Greed
