Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,13444.87988,15306.12988,12934.16016,14754.12988,14754.12988,1956783037
1/3/2018,14754.08984,15435.00977,14579.70996,15156.62012,15156.62012,1604206990
1/4/2018,15156.49023,15408.66016,14244.66992,15180.08008,15180.08008,1656714736
1/5/2018,15180.08008,17126.94922,14832.36035,16954.7793,16954.7793,2283988962
1/6/2018,16954.75977,17252.84961,16286.57031,17172.30078,17172.30078,1412703790
1/7/2018,17174.5,17184.81055,15791.12988,16228.16016,16228.16016,1309532650
1/8/2018,16228.25977,16302.91992,13902.30957,14976.16992,14976.16992,2166366561
1/9/2018,14976.16992,15390.28027,14221.54981,14468.5,14468.5,1486802326
1/10/2018,14468.08984,14919.49023,13450.54004,14919.49023,14919.49023,2025083791
1/11/2018,14920.36035,14979.95996,12825.9502,13308.05957,13308.05957,2373494121
1/12/2018,13308.05957,14129.08008,12851.91016,13841.19043,13841.19043,1402292716
1/13/2018,13841.19043,14595.04004,13830.28027,14243.12012,14243.12012,1021352776
1/14/2018,14244.12012,14415.66992,13031.91016,13638.62988,13638.62988,1112590573
1/15/2018,13638.62988,14355.82031,13416.70996,13631.98047,13631.98047,1170462750
1/16/2018,13634.59961,13648.83984,10032.69043,11282.49023,11282.49023,3842651741
1/17/2018,11282.49023,11736.29981,9205.379883,11162.7002,11162.7002,3666978316
1/18/2018,11162.7002,12018.42969,10642.33008,11175.51953,11175.51953,2357251805
1/19/2018,11175.51953,11780.49023,10867.17969,11521.75977,11521.75977,1264875700
1/20/2018,11521.82031,13031.04004,11502.11035,12783.94043,12783.94043,1492721765
1/21/2018,12783.54004,12787.34961,11101.73047,11549.92969,11549.92969,1552755289
1/22/2018,11549.98047,11913.74023,10067.75977,10814.51953,10814.51953,1811992345
1/23/2018,10814.51953,11388.51953,9980.5,10858.23047,10858.23047,1710180828
1/24/2018,10853.78027,11531.59961,10506.54981,11429.01953,11429.01953,1286435482
1/25/2018,11428.11035,11741.91992,10930.33984,11175.87012,11175.87012,1061064251
1/26/2018,11175.87012,11656.54004,10346.86035,11104.2002,11104.2002,1560135332
1/27/2018,11104.33984,11638.69043,10879.2002,11459.70996,11459.70996,1031091633
1/28/2018,11460.38965,12064.19043,11407.94043,11767.74023,11767.74023,1038153169
1/29/2018,11767.74023,11860.29004,11089.51953,11233.9502,11233.9502,920836244
1/30/2018,11234.32031,11263.7002,9871.209961,10107.25977,10107.25977,1720894077
1/31/2018,10107.40039,10377.95996,9698.129883,10226.86035,10226.86035,1230902973
2/1/2018,10226.86035,10280.83984,8726.950195,9114.719727,9114.719727,1964308989
2/2/2018,9114.730469,9147.929688,7786.200195,8870.820313,8870.820313,2768759876
2/3/2018,8872.870117,9504.370117,8194.679688,9251.269531,9251.269531,1253484523
2/4/2018,9251.269531,9400.990234,7889.830078,8218.049805,8218.049805,1413207410
2/5/2018,8218.049805,8391.290039,6627.310059,6937.080078,6937.080078,2534149181
2/6/2018,6936.430176,7932.379883,5968.359863,7701.25,7701.25,3397596513
2/7/2018,7701.25,8572.679688,7208.859863,7592.720215,7592.720215,2159765331
2/8/2018,7593.779785,8643.94043,7590.47998,8260.69043,8260.69043,1594673973
2/9/2018,8259.259766,8743.200195,7775.359863,8696.830078,8696.830078,1348072086
2/10/2018,8696.830078,9081.490234,8176.25,8569.290039,8569.290039,1348923336
2/11/2018,8569.320313,8573.349609,7862.310059,8084.609863,8084.609863,1013771945
2/12/2018,8084.609863,8997.339844,8084.410156,8911.269531,8911.269531,1085921871
2/13/2018,8911.169922,8955.150391,8379.349609,8544.69043,8544.69043,853320352
2/14/2018,8544.69043,9508.219727,8542.980469,9485.639648,9485.639648,1220863360
2/15/2018,9485.639648,10223.58008,9363.379883,10033.75,10033.75,1666668487
2/16/2018,10033.75,10303.13965,9720.379883,10188.73047,10188.73047,1061827697
2/17/2018,10188.73047,11119.4502,10074.07031,11097.20996,11097.20996,1327921168
2/18/2018,11097.20996,11288.33984,10161.00977,10417.23047,10417.23047,1659704217
2/19/2018,10418.12012,11265.95996,10336.32031,11182.28027,11182.28027,1186535653
2/20/2018,11182.28027,11802.23047,11130.9502,11256.42969,11256.42969,1640343867
2/21/2018,11256.78027,11295.58008,10256.20996,10481.66016,10481.66016,1982721124
2/22/2018,10481.66016,10941.57031,9757.19043,9847.959961,9847.959961,1795951829
2/23/2018,9847.959961,10420.66992,9604,10175.50977,10175.50977,1399448203
2/24/2018,10175.50977,10528,9396.540039,9705.730469,9705.730469,1244484468
2/25/2018,9705.730469,9873.790039,9329.44043,9610.110352,9610.110352,793093192
2/26/2018,9610.110352,10457.50977,9411.820313,10326.5,10326.5,1181729273
2/27/2018,10326.5,10879.37988,10154.24023,10594.75977,10594.75977,1060840699
2/28/2018,10594.75977,11067.75977,10303.13965,10334.44043,10334.44043,1126074675
3/1/2018,10334.44043,11090.29981,10247.55957,10929.37012,10929.37012,952472120
3/2/2018,10929.37012,11191.94043,10801.4502,11043.12012,11043.12012,852908489
3/3/2018,11043.12012,11530.66016,11043.12012,11465.36035,11465.36035,812200126
3/4/2018,11465.36035,11539.79004,11084.00977,11504.41992,11504.41992,690727335
3/5/2018,11503.94043,11694.15039,11431.54981,11440.73047,11440.73047,791471905
